Team,Conference,3P%,3P%.Rank,2P%,2P%.Rank,FT%,FT%.Rank,Blk%,Blk%.Rank,Stl%,Stl%.Rank,NST%,NST%.Rank,A%,A%.Rank,3PA%,3PA%.Rank,AdjOE,AdjOE.Rank
Vanderbilt,SEC,34.0,163,49.5,187,69.7,246,12.6,346,9.2,158,9.7,245,48.6,234,45.6,27,107.2,90
Mount St. Mary's,NEC,33.9,164,47.6,260,68.5,284,7.2,45,10.9,322,9.2,186,53.3,114,30.4,333,96.1,303
Charleston,CAA,33.9,165,50.0,162,73.0,133,12.7,348,10.7,313,10.1,284,47.2,269,37.6,182,104.7,142
Michigan,B10,33.9,166,53.3,48,75.2,61,8.2,114,8.1,53,9.3,201,52.6,136,32.2,301,114.5,19
Chattanooga,SC,33.9,167,53.0,57,75.9,43,9.9,258,8.7,101,8.3,97,46.2,285,38.7,148,109.0,68
Eastern Kentucky,ASun,33.9,168,46.0,314,71.8,170,10.2,279,7.8,40,7.8,53,53.8,99,48.5,11,101.3,207
Rutgers,B10,33.9,169,49.4,192,70.0,232,7.9,87,8.7,102,8.6,136,58.8,27,31.6,309,107.0,96
Montana,BSky,33.9,170,49.9,170,78.8,11,8.3,122,6.2,2,9.5,224,49.1,218,35.8,224,100.3,232
Stanford,P12,33.9,171,49.2,201,65.9,338,10.7,305,10.7,312,11.6,348,54.4,84,38.7,152,105.4,129
Hofstra,CAA,33.8,172,55.6,15,79.7,5,8.7,145,7.4,15,7.3,36,52.5,141,44.6,38,108.8,72
Washington St.,P12,33.8,173,46.0,315,75.2,63,9.0,192,7.3,12,9.3,203,45.8,289,44.1,41,107.9,82
Rhode Island,A10,33.8,174,50.5,139,61.9,356,7.4,62,10.7,310,10.1,280,53.9,94,28.9,344,99.3,250
Incarnate Word,Slnd,33.8,175,46.5,302,80.7,2,7.9,89,9.6,214,10.5,312,48.6,236,45.0,32,94.9,317
George Washington,A10,33.7,176,48.0,246,69.8,241,10.8,309,9.5,203,8.4,111,48.5,238,35.9,223,99.4,248
Ohio,MAC,33.7,177,50.8,129,72.9,138,10.2,277,8.3,70,7.1,29,49.0,223,45.3,30,104.3,152
